Episode,Real Madrid,Kairat
1,0,3
2,0,0
3,0,0
4,1,1
5,2,1
6,0,0
7,1,2
8,0,2
9,0,0
10,0,1
11,0,1
12,2,1
13,0,0
14,4,0
15,1,0
16,1,0
17,1,2
18,2,1
19,0,0
20,0,1
21,1,0
22,1,0
23,1,0
24,2,0
25,1,1
26,0,0
27,0,1
28,0,0
29,1,0
30,0,0
31,0,0
32,0,0
33,0,1
34,0,0
35,0,2
36,0,1
37,2,1
38,2,2
39,0,0
40,2,3
41,0,1
42,0,0
43,1,1
44,0,1
45,0,2
46,1,0
47,2,1
48,0,0
49,3,2
50,2,0
51,1,0
52,0,0
53,2,0
54,0,0
55,2,1
56,2,1
57,2,0
58,1,2
59,1,1
60,0,1
61,1,1
62,2,1
63,2,0
64,2,0
65,0,2
66,0,2
67,0,1
68,2,2
69,0,0
70,1,0
71,1,0
72,0,1
73,0,1
74,1,0
75,2,1
76,1,0
77,0,2
78,0,0
79,1,0
80,0,1
81,1,0
82,1,2
83,0,0
84,3,1
85,0,0
86,1,2
87,1,1
88,2,0
89,0,0
90,0,1
91,1,1
92,0,2
93,1,0
94,2,0
95,1,0
96,0,0
97,0,3
98,1,2
99,0,1
100,0,1
101,1,1
102,0,0
103,1,0
